FlightDestinations,IATA
Istanbul,IST
Berlin,BER
Yekaterinburg,SVX
Salzburg,SZG
Wien,VIE
Prague,PRG
Bremen,BRE
Urbach,CGN
Düsseldorf,DUS
Frankfurt,FRA
Hamburg,HAM
Hanover,HAJ
Leipzig,LEJ
Munich,MUC
Nuremberg,NUE
Stuttgart,STR
Budapest,BUD
Warsaw,WAW
Basel,BSL
Geneva,GVA
Zürich,ZRH
Minsk,MSQ
Sofia,SOF
Varna,VAR
Chisinau,KIV
Bucharest,OTP
Cluj,CLJ
Constanța,CND
Kazan,KZN
Krasnodar,KRR
Moscow Vnukovo,VKO
Rostov,ROV
Saint Petersburg,LED
Sochi,AER
Kharkiv,HRK
Kherson,KHE
Kyiv,KBP
Lviv,LWO
Odessa,ODS
Zaporizhzhia,OZH
Billund Kommune,BLL
København,CPH
Tallinn,TLL
Helsinki,HEL
Rovaniemi,RVN
Dublin,DUB
Riga,RIX
Vilnius,VNO
Oslo,OSL
Göteborg,GOT
Stockholm,ARN
Birmingham,BHX
Edinburgh,EDI
London Gatwick,LGW
London Heathrow,LHR
Manchester,MAN
Sarajevo,SJJ
Dubrovnik,DBV
Zagreb,ZAG
Athenes,ATH
Thessaloniki,SKG
Bari,BRI
Bologna,BLQ
Catania,CTA
Milan,MXP
Naples,NAP
Rome,FCO
Venice,VCE
Malta,MLA
Podgorica,TGD
Tivat,TIV
Lisbon,LIS
Porto,OPO
Skopje,SKP
Belgrade,BEG
Pristina,PRN
Ljubljana,LJU
Barcelona,BCN
Bilbao,BIO
Madrid,MAD
Málaga,AGP
Valencia,VLC
Brussels,BRU
Bordeaux,BOD
Lyon,LYS
Marseille,MRS
Nice,NCE
Paris,CDG
Strasbourg,SXB
Toulouse,TLS
Luxembourg City,LUX
Amsterdam,AMS
