destination;linestring;sourcelat;sourcelon;targetlat;targetlon
Istanbul;LINESTRING (28.85326958239279 41.164548659320616, 28.85326958239279 41.164548659320616);41.164548659320616;28.85326958239279;41.164548659320616;28.85326958239279
Berlin;LINESTRING (28.85326958239279 41.164548659320616, 13.402316185667429 52.5014939815227);41.164548659320616;28.85326958239279;52.5014939815227;13.402316185667429
Yekaterinburg;LINESTRING (28.85326958239279 41.164548659320616, 60.537764809852376 56.79062898079823);41.164548659320616;28.85326958239279;56.79062898079823;60.537764809852376
Salzburg;LINESTRING (28.85326958239279 41.164548659320616, 13.046576194993815 47.79752787727196);41.164548659320616;28.85326958239279;47.79752787727196;13.046576194993815
Wien;LINESTRING (28.85326958239279 41.164548659320616, 10.666093641514196 45.45193372684499);41.164548659320616;28.85326958239279;45.45193372684499;10.666093641514196
Prague;LINESTRING (28.85326958239279 41.164548659320616, 14.465998939261763 50.066789546560365);41.164548659320616;28.85326958239279;50.066789546560365;14.465998939261763
Bremen;LINESTRING (28.85326958239279 41.164548659320616, 8.7802323572916 53.119587337260484);41.164548659320616;28.85326958239279;53.119587337260484;8.7802323572916
Urbach;LINESTRING (28.85326958239279 41.164548659320616, 7.189694393965597 48.420235950613225);41.164548659320616;28.85326958239279;48.420235950613225;7.189694393965597
Düsseldorf;LINESTRING (28.85326958239279 41.164548659320616, 6.810198279509932 51.235590628624124);41.164548659320616;28.85326958239279;51.235590628624124;6.810198279509932
Frankfurt;LINESTRING (28.85326958239279 41.164548659320616, 8.644441725657162 50.117333078472655);41.164548659320616;28.85326958239279;50.117333078472655;8.644441725657162
Hamburg;LINESTRING (28.85326958239279 41.164548659320616, 9.629117964023928 53.64491065798027);41.164548659320616;28.85326958239279;53.64491065798027;9.629117964023928
Hanover;LINESTRING (28.85326958239279 41.164548659320616, 9.77010360002252 52.379010783652866);41.164548659320616;28.85326958239279;52.379010783652866;9.77010360002252
Leipzig;LINESTRING (28.85326958239279 41.164548659320616, 12.375072352650466 51.341849954464784);41.164548659320616;28.85326958239279;51.341849954464784;12.375072352650466
Munich;LINESTRING (28.85326958239279 41.164548659320616, 11.547372848074692 48.153165171962804);41.164548659320616;28.85326958239279;48.153165171962804;11.547372848074692
Nuremberg;LINESTRING (28.85326958239279 41.164548659320616, 11.082560759941202 49.43673162206985);41.164548659320616;28.85326958239279;49.43673162206985;11.082560759941202
Stuttgart;LINESTRING (28.85326958239279 41.164548659320616, 9.172058109836708 48.77509668524726);41.164548659320616;28.85326958239279;48.77509668524726;9.172058109836708
Budapest;LINESTRING (28.85326958239279 41.164548659320616, 19.107575965227387 47.48403819669485);41.164548659320616;28.85326958239279;47.48403819669485;19.107575965227387
Warsaw;LINESTRING (28.85326958239279 41.164548659320616, 21.04773187765218 52.22933639591604);41.164548659320616;28.85326958239279;52.22933639591604;21.04773187765218
Basel;LINESTRING (28.85326958239279 41.164548659320616, 7.593593164705849 47.5577548701646);41.164548659320616;28.85326958239279;47.5577548701646;7.593593164705849
Geneva;LINESTRING (28.85326958239279 41.164548659320616, 6.1437512671501935 46.20707468781272);41.164548659320616;28.85326958239279;46.20707468781272;6.1437512671501935
Zürich;LINESTRING (28.85326958239279 41.164548659320616, 8.531370007957436 47.381417776444614);41.164548659320616;28.85326958239279;47.381417776444614;8.531370007957436
Minsk;LINESTRING (28.85326958239279 41.164548659320616, 27.616326465694836 53.894637078083505);41.164548659320616;28.85326958239279;53.894637078083505;27.616326465694836
